fold,score,n_sample,source,sub_name,filename,accuracy_train,accuracy_test,hidden states T-3,hidden states T-2,hidden states T-1
0,0.5960757992007992,11,cognitive,39,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.25208979845046997,0.4265809953212738,0.5012693405151367
0,0.438918985919994,42,cognitive,39,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2559482753276825,0.4296320080757141,0.5399022698402405
0,0.5509097384097383,11,cognitive,40,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.21161200106143951,0.39302635192871094,0.5452026724815369
0,0.5061896286721203,42,cognitive,40,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3106745183467865,0.48194584250450134,0.5532496571540833
0,0.5909722222222222,18,cognitive,41,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3646796941757202,0.5497305393218994,0.6439947485923767
0,0.5198416742951155,35,cognitive,41,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3603837490081787,0.5568139553070068,0.6207239031791687
0,0.5190657993966817,15,cognitive,42,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.33314454555511475,0.5376205444335938,0.6051851511001587
0,0.46272110740244976,38,cognitive,42,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3614537715911865,0.5457373857498169,0.6247913241386414
0,0.6492604617604618,9,cognitive,43,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.31136566400527954,0.4778100550174713,0.5841019749641418
0,0.38344393434202473,44,cognitive,43,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3029539883136749,0.483315646648407,0.5721909999847412
0,0.5521162280701755,21,cognitive,44,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3403465449810028,0.5116993188858032,0.5949503779411316
0,0.4960994740026998,32,cognitive,44,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2968556880950928,0.48295077681541443,0.5820258259773254
0,0.6974081474081474,19,cognitive,45,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.34709295630455017,0.495798259973526,0.584511935710907
0,0.8227080021197668,34,cognitive,45,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3554687201976776,0.5314052700996399,0.575469970703125
0,0.6321428571428571,12,cognitive,46,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.27112171053886414,0.4678596258163452,0.5988019108772278
0,0.46337031380240473,41,cognitive,46,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.303219735622406,0.47246965765953064,0.5564280152320862
0,0.5553300865800866,25,cognitive,47,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.30581608414649963,0.4719609320163727,0.5461626052856445
0,0.6055016843060321,28,cognitive,47,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2864716351032257,0.46127352118492126,0.565693736076355
0,0.5098290598290598,23,cognitive,48,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2977982759475708,0.4721660912036896,0.5721651315689087
0,0.4140318598427435,30,cognitive,48,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.28448203206062317,0.46787601709365845,0.5651997923851013
0,0.4453057650558091,22,cognitive,49,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2682587802410126,0.4182756543159485,0.4948158264160156
0,0.47679723272624375,31,cognitive,49,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.16885870695114136,0.3385414481163025,0.4726341962814331
