"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Accuracy","Training","cond","Int.Block","five_s_to","exclude_subj"
101,0,"0",50,1.90482042458095,0.416425094523001,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,3.31917076078942,0.416553993374575,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.12948538567731,0.567448059347924,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.28891756661888,0.518976657837164,0.128,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.50255609137658,0.50136098470306,0.128,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",30,2.84076795942802,1.46948704596749,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",30,2.67358313145721,0.733995336095802,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.16374621718097,0.499507799587678,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,1.92736504486576,0.451243783347309,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",10,2.42595757205319,0.585650871274527,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.70682665821398,0.515893650901504,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.07839465084858,0.916137562544085,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",30,2.88251428226428,1.26526538220653,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.85700800712407,0.753129419577774,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.19602043665573,0.366380644042045,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",30,2.36548831382534,3.79845925120963,0.256,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.51653512644628,0.448689956001937,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.09679820688721,0.416457998445723,0.256,1,0,"Expt","Pre",TRUE,FALSE
