decoder,study_name,accuracy_train,accuracy_test,fold,score,n_sample,weight T-7 C-0,weight T-7 C-1,weight T-7 C-2,weight T-7 C-3,weight T-6 C-0,weight T-6 C-1,weight T-6 C-2,weight T-6 C-3,weight T-5 C-0,weight T-5 C-1,weight T-5 C-2,weight T-5 C-3,weight T-4 C-0,weight T-4 C-1,weight T-4 C-2,weight T-4 C-3,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,hidden_state T-7,hidden_state T-6,hidden_state T-5,hidden_state T-4,hidden_state T-3,hidden_state T-2,hidden_state T-1
RNN,data_Maniscalco_2017_expt4,Correct trials,Correct trials,16.0,0.696885431717533,2046.6515151515152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09216950158588588,-0.1555709046502174,-0.19717244935137304,-0.22576276610859414,-0.2449763016351922,-0.2583888920136925,-0.2672154555224221
RNN,data_Maniscalco_2017_expt4,Correct trials,Incorrect trials,16.0,0.5461333775670457,120.60606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09689495365226762,-0.15696773523549465,-0.2021120200780305,-0.2256563409019057,-0.24157849050860739,-0.24935629628034253,-0.2587306243226384
RNN,data_Maniscalco_2017_expt4,Incorrect trials,Correct trials,16.0,0.678275188607142,553.0909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08869842353813125,-0.16109777374235404,-0.21716868712312795,-0.26072302878354536,-0.2927870549487345,-0.31727520461109554,-0.33513973670249636
RNN,data_Maniscalco_2017_expt4,Incorrect trials,Incorrect trials,16.0,0.6223002857005645,446.40909090909093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0904923288575391,-0.16217535440668915,-0.21959619588133963,-0.26062536753262533,-0.29154184824702417,-0.3140738187640002,-0.3309940733297756
RNN,data_Shekhar_2018,Correct trials,Correct trials,9.0,0.6429554493749227,1307.2105263157894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06655846423420465,0.07871542851391591,0.08267518260369174,0.08280158285541751,0.08187813272295323,0.08089355049091145,0.08018580042315941
RNN,data_Shekhar_2018,Correct trials,Incorrect trials,9.0,0.6154831819432696,144.73684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06445131671467891,0.07868801045697182,0.09047309211210201,0.09344357291334553,0.09600092029493106,0.09998761460577187,0.09873215658100026
RNN,data_Shekhar_2018,Incorrect trials,Correct trials,9.0,0.5802575095154278,568.2631578947369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02974984000780078,0.041776307711475745,0.04650085546860568,0.04914052671703851,0.049718507075388184,0.04976275718868954,0.049707041211628424
RNN,data_Shekhar_2018,Incorrect trials,Incorrect trials,9.0,0.6245368202398416,333.13157894736844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02587636628825411,0.03427505164290777,0.039151758249653,0.040007121223760274,0.041415482800833764,0.04150240519696748,0.04146096807993384
RNN,data_Sherman_2016_JOCN,Correct trials,Correct trials,8.5,0.6269568644673714,3549.777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15878923568460673,0.23502692787183652,0.2754548287226094,0.29739486798644066,0.31007787171337337,0.3168445635173056,0.32156463836630184
RNN,data_Sherman_2016_JOCN,Correct trials,Incorrect trials,8.5,0.5558690374172409,328.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15930519418583974,0.2314002224140697,0.27025575935840607,0.2895834007196956,0.3015584631098641,0.3123921751976013,0.3124995662106408
