source,accuracy_train,accuracy_test,Time,ps_mean,diff_mean,ps_corrected,star
mem_4,incorrect trials,incorrect trials,feature importance T-3,9.99900009999e-05,0.006410393452326151,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-4,9.99900009999e-05,0.00566206433439204,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-5,9.99900009999e-05,0.004124696323755399,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-6,9.99900009999e-05,0.005080075543411489,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-7,9.99900009999e-05,0.0033826984554958532,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-1,9.99900009999e-05,0.038822469016705746,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-2,9.99900009999e-05,0.011457559718335817,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-3,9.99900009999e-05,0.009251696822141213,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-4,9.99900009999e-05,0.00771459093736376,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-5,9.99900009999e-05,0.007009363527923141,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-6,9.99900009999e-05,0.006504591422338356,0.0027997200279972,**
mixed_4,correct trials,correct trials,feature importance T-7,9.99900009999e-05,0.00501087204822733,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.033786879247333576,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-2,9.99900009999e-05,0.010079697064393121,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-3,9.99900009999e-05,0.00834330451045122,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-4,9.99900009999e-05,0.006526368292393338,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-5,9.99900009999e-05,0.00631629429827802,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-6,9.99900009999e-05,0.004955250196877835,0.0027997200279972,**
mixed_4,correct trials,incorrect trials,feature importance T-7,9.99900009999e-05,0.004715727997760133,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-1,9.99900009999e-05,0.0314843592770096,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-2,9.99900009999e-05,0.009502158043613483,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-3,9.99900009999e-05,0.007052536775608539,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-4,9.99900009999e-05,0.006928028276506957,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-5,9.99900009999e-05,0.005852894846152422,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-6,9.99900009999e-05,0.006333189510326576,0.0027997200279972,**
mixed_4,incorrect trials,correct trials,feature importance T-7,9.99900009999e-05,0.004270503084002946,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.031034345000805517,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-2,9.99900009999e-05,0.010127169674209957,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-3,9.99900009999e-05,0.005886923750005938,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-4,9.99900009999e-05,0.005506767608744342,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-5,9.99900009999e-05,0.005565243026064244,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-6,9.99900009999e-05,0.005984108317265544,0.0027997200279972,**
mixed_4,incorrect trials,incorrect trials,feature importance T-7,9.99900009999e-05,0.00380840755244423,0.0027997200279972,**
