experiment,condition,slope,model,accuracy
data_Bang_2019_Exp1,RNN_correct,-0.004511229182992723,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005298809156549046,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005359112143447045,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0051781336375009155,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004964960348736425,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004711026999662537,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004488161904207208,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0042435744801887785,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005213728558879831,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005301891481275734,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005140366975964659,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004960561765699477,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004751142424243528,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004582614451294308,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004491383611054892,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004881834123635506,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0050823388510147964,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005030967391768023,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004946902358743546,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0048543971785877035,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004793884787166182,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0048005072981058645,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004262079278019019,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0045661006192433806,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004749826083370052,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004960671811510061,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005166646876267137,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005389180759315604,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005694749753350905,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004202367121297439,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004397479176339247,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004679138933496163,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004983897130321576,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005319359424978651,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005670745067342757,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.006118488332792104,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004846163895266654,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004993254993264847,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004999353226215636,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.00494577275381697,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004876896590756951,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004855112179940097,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004888442133981149,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004839541977784394,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004974949947597662,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004938512184770201,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004922538360543293,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004936694794331811,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0050056608154961345,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005206632914096405,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004478757861856452,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004700931704198923,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0048298301540159756,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.00494857193024622,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005038051496356017,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005150688336257419,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005365849642700357,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.00405604138068673,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004494201252591162,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004735213193779762,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004963352187808461,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0051750983319109765,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005404541248549795,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005673101721154726,RNN,correct
data_Bang_2019_Exp1,RNN_incorrect,0.005550050009488373,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005592644416351899,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005800852215614842,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005906213355583293,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006000370462195137,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005999978791854892,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006074564337481255,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005088785189638918,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005452454810902734,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005690362991026773,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005911739988023401,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006071318667057704,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0063955865417674234,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006620401059176487,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005461258546456142,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00554193999005514,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005772645767582606,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005910715155732541,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006057081458494999,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006178220398915857,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006214681333612784,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005205825612382194,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005450452234231676,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005674309338325203,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005921737765367141,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00606262868160111,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006215150442779242,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006229726270068894,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005569809324738255,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005636995356946732,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0057425688227705236,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005905830892366238,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006037208001677501,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006194099117232844,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006596017841141666,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005695906331166532,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005753159161704898,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00583358324818165,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00590344584870595,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005986592876222874,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006038733524013123,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006255058057919417,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0063016107983764145,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006281619208674498,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006091986574175339,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0059121552288225465,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005736278785843761,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0055270436958463655,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005475778871648112,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006551715931498941,RNN,incorrect
